file, line number,spanish prep found,index of spanish prep,code,original Spanish,original English,Column1
bettercallsaul.txt,2,a,,DE,ReemplacÈ el producto robado y algo fue a tu organizaciÛn.,I replaced the stolen product. Some went to your organization.,
bettercallsaul.txt,70,de,,SS,Mientras Lalo Salamanca estÈ de este lado de la frontera no podemos seguir como hasta ahora.,As long as Salamanca is on this side of the border we cannot continue as we were.,
bettercallsaul.txt,72,hasta,,IT,Mientras Lalo Salamanca estÈ de este lado de la frontera no podemos seguir como hasta ahora.,As long as Salamanca is on this side of the border we cannot continue as we were.,
bettercallsaul.txt,92,con,,COM,QuÈdate con tu maldito anticipo.,You keep your goddamn retainer.,
bettercallsaul.txt,117,con,,CO,Delitos no violentos con el 50% de descuento.,Nonviolent felonies 50% off.,
bettercallsaul.txt,120,de,,MO,Delitos no violentos con el 50% de descuento.,Nonviolent felonies 50% off.,
bettercallsaul.txt,200,por,,DI,Durante las prÛximas dos semanas delitos no violentos tendr·n un 50 por ciento de descuento.,Um for the next uh two weeks um non-violent felonies 50% off.,
bettercallsaul.txt,207,durante,,IS,Durante las prÛximas dos semanas delitos no violentos tendr·n un 50 por ciento de descuento.,Um for the next uh two weeks um non-violent felonies 50% off.,
bettercallsaul.txt,220,de,,MO,Durante las prÛximas dos semanas delitos no violentos tendr·n un 50 por ciento de descuento.,Um for the next uh two weeks um non-violent felonies 50% off.,
bettercallsaul.txt,301,para,,RE,Para ti.,That's for you.,
bettercallsaul.txt,325,por,,DI,Cincuenta por ciento.,50% off.,
bettercallsaul.txt,475,por,,DI,Cincuenta por ciento de descuento.,50% off.,
bettercallsaul.txt,495,de,,MO,Cincuenta por ciento de descuento.,50% off.,
bettercallsaul.txt,500,por,,DI,Cincuenta por ciento de descuento.,50% off.,
bettercallsaul.txt,520,de,,MO,Cincuenta por ciento de descuento.,50% off.,
bettercallsaul.txt,575,por,,DI,¬°Cincuenta por ciento de descuento!,50% off! 50% off!,
bettercallsaul.txt,595,de,,MO,¬°Cincuenta por ciento de descuento!,50% off! 50% off!,
bettercallsaul.txt,775,por,,DI,¬°Cincuenta por ciento de descuento!,50% off!,
bettercallsaul.txt,795,de,,MO,¬°Cincuenta por ciento de descuento!,50% off!,
bettercallsaul.txt,1025,por,,DI,¬°Cincuenta por ciento de descuento!,50% off!,
bettercallsaul.txt,1045,de,,MO,¬°Cincuenta por ciento de descuento!,50% off!,
bettercallsaul.txt,1066,en,,TD,...y en sÛlo siete dÌas dejar· de fumar.,... and have you smoke-free in just seven days.,
bettercallsaul.txt,1070,de,,SO,...y en sÛlo siete dÌas dejar· de fumar.,... and have you smoke-free in just seven days.,
bettercallsaul.txt,1093,sin,,AD,Totalmente natural y sin nicotina.,It's all-natural and nicotine-free.,
bettercallsaul.txt,1099,sin,,AD,Totalmente natural y sin nicotina.,It's all-natural and nicotine-free.,
bettercallsaul.txt,1171,al,,TD,Controla los antojos al instante.,Spray Away... it can stop your cravings instantly.,
bettercallsaul.txt,1220,de,,SO,Miles han dejado de fumar usando Smoke Away.,Thousands have already quit smoking using Smoke Away.,
bettercallsaul.txt,1370,de,,SO,øQuÈ quieren de mÌ?,What's he want from me?,
bettercallsaul.txt,1500,por,,ID,Por favor.,Don't.,
bettercallsaul.txt,1725,por,,ID,øPor quÈ lo est· haciendo?,Why's he doin' this?,
bettercallsaul.txt,1750,por,,ID,øPor quÈ me hace esto?,Hey why's he doin' this?,
